2024-10-03 10:39:17 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26409 MB / 1030999 MB
2024-10-03 10:39:23 - GPU Memory: 21242 MB, CPU Usage: 16.7%, RAM Usage: 26426 MB / 1030999 MB
2024-10-03 10:39:28 - GPU Memory: 21242 MB, CPU Usage: 17.1%, RAM Usage: 26441 MB / 1030999 MB
2024-10-03 10:39:33 - GPU Memory: 21242 MB, CPU Usage: 19.2%, RAM Usage: 26437 MB / 1030999 MB
2024-10-03 10:39:38 - GPU Memory: 21242 MB, CPU Usage: 16.9%, RAM Usage: 26440 MB / 1030999 MB
2024-10-03 10:39:44 - GPU Memory: 21242 MB, CPU Usage: 17.6%, RAM Usage: 26446 MB / 1030999 MB
2024-10-03 10:39:49 - GPU Memory: 21242 MB, CPU Usage: 15.6%, RAM Usage: 26456 MB / 1030999 MB
2024-10-03 10:39:54 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26428 MB / 1030999 MB
2024-10-03 10:39:59 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26450 MB / 1030999 MB
2024-10-03 10:40:04 - GPU Memory: 21242 MB, CPU Usage: 15.9%, RAM Usage: 26489 MB / 1030999 MB
2024-10-03 10:40:10 - GPU Memory: 21242 MB, CPU Usage: 18.8%, RAM Usage: 26460 MB / 1030999 MB
2024-10-03 10:40:15 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26440 MB / 1030999 MB
2024-10-03 10:40:20 - GPU Memory: 21242 MB, CPU Usage: 16.6%, RAM Usage: 26469 MB / 1030999 MB
2024-10-03 10:40:25 - GPU Memory: 21242 MB, CPU Usage: 15.4%, RAM Usage: 26178 MB / 1030999 MB
2024-10-03 10:40:31 - GPU Memory: 21242 MB, CPU Usage: 18.1%, RAM Usage: 26468 MB / 1030999 MB
2024-10-03 10:40:36 - GPU Memory: 21242 MB, CPU Usage: 16.9%, RAM Usage: 26473 MB / 1030999 MB
2024-10-03 10:40:41 - GPU Memory: 21242 MB, CPU Usage: 11.7%, RAM Usage: 26450 MB / 1030999 MB
2024-10-03 10:40:46 - GPU Memory: 21242 MB, CPU Usage: 8.9%, RAM Usage: 26253 MB / 1030999 MB
2024-10-03 10:40:52 - GPU Memory: 21242 MB, CPU Usage: 18%, RAM Usage: 26407 MB / 1030999 MB
