2024-09-27 12:13:08 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19283 MB / 64254 MB
2024-09-27 12:13:14 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19288 MB / 64254 MB
2024-09-27 12:13:19 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19278 MB / 64254 MB
2024-09-27 12:13:24 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19277 MB / 64254 MB
2024-09-27 12:13:29 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19234 MB / 64254 MB
2024-09-27 12:13:35 - GPU Memory: 1103 MB, CPU Usage: 2.9%, RAM Usage: 19241 MB / 64254 MB
2024-09-27 12:13:40 - GPU Memory: 1102 MB, CPU Usage: 2.9%, RAM Usage: 19241 MB / 64254 MB
2024-09-27 12:13:45 - GPU Memory: 1125 MB, CPU Usage: 2.9%, RAM Usage: 19196 MB / 64254 MB
2024-09-27 12:13:50 - GPU Memory: 1119 MB, CPU Usage: 2.9%, RAM Usage: 19004 MB / 64254 MB
2024-09-27 12:13:55 - GPU Memory: 1132 MB, CPU Usage: 2.9%, RAM Usage: 19230 MB / 64254 MB
2024-09-27 12:14:01 - GPU Memory: 1112 MB, CPU Usage: 2.9%, RAM Usage: 19228 MB / 64254 MB
2024-09-27 12:14:06 - GPU Memory: 1115 MB, CPU Usage: 2.9%, RAM Usage: 19151 MB / 64254 MB
2024-09-27 12:14:11 - GPU Memory: 1109 MB, CPU Usage: 2.9%, RAM Usage: 19225 MB / 64254 MB
2024-09-27 12:14:16 - GPU Memory: 1112 MB, CPU Usage: 2.9%, RAM Usage: 19228 MB / 64254 MB
2024-09-27 12:14:22 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19226 MB / 64254 MB
2024-09-27 12:14:27 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19227 MB / 64254 MB
2024-09-27 12:14:32 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19224 MB / 64254 MB
2024-09-27 12:14:37 - GPU Memory: 1108 MB, CPU Usage: 2.9%, RAM Usage: 19225 MB / 64254 MB
